Algorithm,op_KeyGen,op_Sign,op_Verify,op_Whole,Useful Heap Memory (B) KeyGen,Useful Heap Memory (B) Sign,Useful Heap Memory (B) Verify,Useful Heap Memory (B) Whole,Extra Heap Memory (B) KeyGen,Extra Heap Memory (B) Sign,Extra Heap Memory (B) Verify,Extra Heap Memory (B) Whole,Static Memory (B) KeyGen,Static Memory (B) Sign,Static Memory (B) Verify,Static Memory (B) Whole,Total Memory (B) KeyGen,Total Memory (B) Sign,Total Memory (B) Verify,Total Memory (B) Whole,Key gen (us) mean,Signing (us) mean,Verify (us) mean,TOTAL (us)
Falcon-512,,,,,2178.0,2067.0,1715.0,2996.0,0.0,0.0,0.0,53.6,1474.56,1474.56,1392.64,1474.56,3652.56,3541.56,3107.64,4524.16,171261.2,25212.02,579.78,144514.66
Falcon-padded-512,,,,,2178.0,1981.0,1629.0,,0.0,0.0,0.0,,1474.56,1392.64,1392.64,,3652.56,3373.64,3021.64,,119544.08,25957.04,574.7,
MAYO-1,,,,,1444.0,512.0,1940.0,1964.0,0.0,1.76,0.0,30.16,1392.64,1474.56,1556.48,1474.56,2836.64,1988.32,3496.48,3468.72,15195.32,25846.68,13316.7,53857.62
ML-DSA-44,,,,,3872.0,5014.0,3798.0,6358.0,0.0,0.0,0.0,8.76,1474.56,2211.84,1392.64,1638.4,5346.56,7225.84,5190.64,8005.16,2316.56,5504.2,1873.26,9101.72
SPHINCS+-SHA2-128f-simple,,,,,96.0,17186.0,17186.0,17250.0,4.48,0.0,0.0,3.96,1392.64,1720.32,1392.64,1720.32,1493.12,18906.32,18578.64,18974.28,8357.06,195714.46,11037.32,211707.86
SPHINCS+-SHA2-128s-simple,,,,,96.0,7954.0,7954.0,8018.0,4.48,0.0,0.0,3.96,1392.64,1556.48,1392.64,1556.48,1493.12,9510.48,9346.64,9578.44,558225.92,4445392.64,3944.04,4954895.9
SPHINCS+-SHAKE-128f-simple,,,,,96.0,17186.0,17186.0,17250.0,12.32,0.0,0.0,4.12,1392.64,1392.64,1392.64,1392.64,1500.96,18578.64,18578.64,18646.76,79048.84,1987988.38,118007.6,2147955.82
SPHINCS+-SHAKE-128s-simple,,,,,,7954.0,,8018.0,,0.0,,12.6,,1392.64,,1392.64,,9346.64,,9423.24,,42110954.42,,47740717.58
